time,open,high,low,close,Volume
1502942400,4261.48,4349.99,4261.32,4349.99,82.088865
1502956800,4333.32,4485.39,4333.32,4427.3,63.619882
1502971200,4436.06,4485.39,4333.42,4352.34,174.562001
1502985600,4352.33,4354.84,4200.74,4325.23,225.109716
1503000000,4307.56,4369.69,4258.56,4285.08,249.769913
1503014400,4285.08,4340.62,4134.61,4292.39,276.193043
1503028800,4292.39,4340.62,4234.43,4300.25,248.389029
1503043200,4285,4371.52,4259.85,4340.31,196.140129
1503057600,4320.52,4340.31,4193.7,4236.89,175.969384
1503072000,4234.54,4297.75,4015.7,4136.28,193.64697
1503086400,4135,4136.48,3938.77,4108.37,109.549709
1503100800,4108.37,4184.69,4084.28,4138.55,108.510448
1503115200,4138.5,4156,3933.21,4033.47,112.752079
1503129600,4033.47,4082.25,3850,3957.6,77.256042
1503144000,3945.12,4100,3928.89,3972.05,47.515578
1503158400,4036.19,4103.92,3953.4,4076.12,25.925056
1503172800,4088.71,4149.99,4051.47,4139.98,9.35056
1503187200,4120.98,4139.98,4044,4094.62,6.611283
1503201600,4094.62,4156.56,4081.19,4155.87,28.60391
1503216000,4155.87,4211.08,4032.62,4106.53,36.019943
1503230400,4106.53,4125.43,4063.35,4125,29.113266
1503244800,4125,4185.94,4091.59,4164.6,169.995517
1503259200,4161.59,4171.62,4069.13,4086.29,196.739103
1503273600,4069.13,4119.62,4039,4084.76,220.838143
1503288000,4079.26,4104.68,3953.4,4043.63,222.575129
1503302400,4043.63,4088.12,4000.01,4023.11,78.878314
1503316800,4023.11,4023.11,3911.79,4022,43.762796
1503331200,4005.99,4042.11,3918.8,4027.05,24.46693
1503345600,4027.05,4070.49,3950,4016,101.221748
1503360000,4016,4016,3688.97,3862.39,114.685346
1503374400,3863,3868.57,3400,3798.08,167.221519
1503388800,3798.08,3920.31,3750.08,3866.48,221.731236
1503403200,3866.48,3990.12,3786.81,3858.23,179.358421
1503417600,3858.23,4104.82,3853.47,3984.24,159.535655
1503432000,3984.5,4061.54,3944.03,4040,124.152681
1503446400,4040,4127.99,4013.89,4100.41,159.658384
1503460800,4084.54,4115.87,4035.32,4074.88,141.839603
1503475200,4081.63,4242.32,4057,4237.99,135.024022
1503489600,4205.98,4265.8,4150.65,4197.05,237.360569
1503504000,4226.94,4259.58,4103.51,4117.07,174.637585
1503518400,4136.48,4178.65,4069.8,4114.01,152.616402
1503532800,4147,4204.55,4085.01,4113.58,123.52015
1503547200,4113.58,4177.64,4090.39,4153.32,123.17946
1503561600,4153.8,4250.94,4150,4202,171.486488
1503576000,4211.78,4250.9,4136.33,4222,146.997342
1503590400,4223.06,4250.77,4178.22,4216.07,111.579358
1503604800,4216.1,4371.68,4193.17,4316.01,110.655955
1503619200,4316.01,4370,4295.75,4312.69,141.104526
1503633600,4312.69,4362,4267.5,4329,101.509543
1503648000,4317.81,4361.28,4298.74,4361.27,74.43306
1503662400,4361.27,4422.29,4261.13,4394.36,164.206656
1503676800,4394.36,4453.91,4284.11,4307.17,52.39933
1503691200,4326,4365,4247.48,4280.68,39.959625
1503705600,4280.71,4315,4228.99,4297.94,41.638568
1503720000,4297.94,4319.7,4252.44,4319.7,28.707288
1503734400,4319.7,4319.7,4260.88,4288.72,36.153081
1503748800,4288.72,4306.74,4221.14,4275,34.654984
1503763200,4275,4351.32,4212.41,4293.52,47.431108
1503777600,4293.52,4367,4279,4337.44,39.523039
1503792000,4332.51,4400,4314.91,4314.91,62.980388
1503806400,4329.19,4370.85,4293.42,4313.84,47.478199
1503820800,4331.29,4352.34,4285.56,4323.37,57.138682
1503835200,4340,4340,4285.54,4325,35.277424
1503849600,4290.01,4386.78,4290.01,4368.41,72.11126
1503864000,4336.12,4386.79,4309.6,4310.01,75.706632
1503878400,4310.01,4330.36,4239.36,4239.37,73.295355
1503892800,4239.36,4297.11,4124.54,4261.9,94.397198
1503907200,4261.9,4365.4,4226.93,4308,121.722034
1503921600,4309,4347,4271.03,4273.59,121.858551
1503936000,4317.2,4370.45,4273.59,4321.65,107.225677
1503950400,4321.65,4399.82,4290.18,4386.69,85.342801
1503964800,4353.65,4386.69,4314.35,4376.99,78.862074
1503979200,4363.48,4404.07,4313.55,4329.02,128.456959
1503993600,4328.12,4417.61,4328.12,4368.5,88.051429
1504008000,4368.5,4625.85,4347.59,4570,128.764571
1504022400,4569.65,4584,4496.95,4555.55,127.21423
1504036800,4540,4624.99,4535.09,4587.48,52.195765
